market,sportsbook,league,wins,losses,profit,roi_pct,est_user_bpd
Rebounds,Fliff,NCAAB,3.0,2.0,6.51,16.28,1.0
3-Pointers,HardRockNJ,NCAAB,34.0,39.0,-27.17,-4.65,1.0
Assists,HardRockNJ,NCAAB,64.0,48.0,129.2,14.42,1.0
Team Total,HardRockNJ,NCAAB,1.0,2.0,-8.38,-34.92,1.0
Points,HardRockNJ,NCAAB,114.0,75.0,232.51,15.38,1.0
Moneyline,HardRockNJ,NCAAB,21.0,21.0,-49.49,-14.73,1.0
Rebounds,HardRockNJ,NCAAB,47.0,52.0,-70.67,-8.92,1.0
3-Pointers,HardRock,NCAAB,34.0,39.0,-27.17,-4.65,1.0
Assists,HardRock,NCAAB,64.0,48.0,129.2,14.42,1.0
Team Total,HardRock,NCAAB,1.0,2.0,-8.38,-34.92,1.0
Points,HardRock,NCAAB,114.0,75.0,232.51,15.38,1.0
Moneyline,HardRock,NCAAB,26.0,21.0,-8.0,-2.13,1.0
Rebounds,HardRock,NCAAB,47.0,52.0,-70.67,-8.92,1.0
Total,Kalshi,NCAAB,1.0,1.0,1.04,6.5,1.0
Moneyline,Kalshi,NCAAB,11.0,15.0,9.33,4.49,1.0
Point Spread,Kalshi,NCAAB,0.0,1.0,-8.0,-100.0,1.0
Total,NoVig,NCAAB,36.0,29.0,86.17,16.57,1.0
Moneyline,NoVig,NCAAB,64.0,66.0,16.06,1.54,1.0
Point Spread,NoVig,NCAAB,70.0,49.0,217.74,22.87,1.0
3-Pointers,OnyxOdds,NCAAB,6.0,5.0,7.63,8.67,1.0
Assists,OnyxOdds,NCAAB,18.0,64.0,-269.46,-41.08,1.0
Points,OnyxOdds,NCAAB,9.0,16.0,-41.39,-20.69,1.0
Moneyline,OnyxOdds,NCAAB,48.0,36.0,62.69,9.33,1.0
Point Spread,OnyxOdds,NCAAB,2.0,0.0,17.2,107.5,1.0
Rebounds,OnyxOdds,NCAAB,25.0,49.0,-132.82,-22.44,1.0
Assists,Pick6,NCAAB,2.0,2.0,-3.52,-10.99,1.0
Points,Pick6,NCAAB,15.0,7.0,40.47,22.99,1.0
Rebounds,Pick6,NCAAB,0.0,1.0,-8.0,-100.0,1.0
Points,Pinnacle,NCAAB,0.0,1.0,-8.0,-100.0,1.0
Moneyline,Pinnacle,NCAAB,19.0,9.0,30.26,13.51,1.0
Point Spread,Pinnacle,NCAAB,1.0,0.0,7.92,99.01,1.0
3-Pointers,PointsBet,NCAAB,28.0,22.0,56.57,14.14,1.0
Assists,PointsBet,NCAAB,50.0,64.0,-81.02,-8.88,1.0
Team Total,PointsBet,NCAAB,1.0,0.0,7.62,95.24,1.0
Points,PointsBet,NCAAB,81.0,66.0,56.64,4.82,1.0
Moneyline,PointsBet,NCAAB,41.0,40.0,-14.84,-2.29,1.0
Rebounds,PointsBet,NCAAB,76.0,81.0,-9.76,-0.78,1.0
Total,Polymarket,NCAAB,5.0,7.0,-13.36,-13.92,1.0
Point Spread,Polymarket,NCAAB,6.0,10.0,-28.0,-21.88,1.0
3-Pointers,PrizePicks,NCAAB,3.0,2.0,3.67,9.18,1.0
Assists,PrizePicks,NCAAB,7.0,8.0,-18.1,-15.08,1.0
Points,PrizePicks,NCAAB,20.0,15.0,11.15,3.98,1.0
Rebounds,PrizePicks,NCAAB,12.0,6.0,30.69,21.31,1.0
Assists,ProphetX,NCAAB,15.0,19.0,5.1,1.87,1.0
Total,ProphetX,NCAAB,16.0,21.0,-29.05,-9.81,1.0
Points,ProphetX,NCAAB,84.0,104.0,-21.64,-1.44,1.0
Point Spread,ProphetX,NCAAB,54.0,47.0,91.61,11.34,1.0
Rebounds,ProphetX,NCAAB,19.0,28.0,-60.53,-16.1,1.0
3-Pointers,Rebet,NCAAB,9.0,11.0,-9.68,-6.05,1.0
Assists,Rebet,NCAAB,25.0,27.0,2.23,0.54,1.0
Points,Rebet,NCAAB,40.0,32.0,30.04,5.22,1.0
Moneyline,Rebet,NCAAB,20.0,18.0,-18.87,-6.21,1.0
Rebounds,Rebet,NCAAB,41.0,41.0,-20.75,-3.16,1.0
Assists,Sleeper,NCAAB,1.0,3.0,-19.43,-60.71,1.0
Points,Sleeper,NCAAB,11.0,4.0,44.62,37.18,1.0
Rebounds,Sleeper,NCAAB,4.0,4.0,-4.38,-6.84,1.0
Assists,STNSports,NCAAB,6.0,7.0,-10.69,-10.28,1.0
Points,STNSports,NCAAB,27.0,17.0,52.84,15.01,1.0
Moneyline,STNSports,NCAAB,100.0,89.0,113.33,7.5,1.0
Point Spread,STNSports,NCAAB,0.0,1.0,-8.0,-100.0,1.0
Rebounds,STNSports,NCAAB,15.0,10.0,29.82,14.91,1.0
Assists,TheScore,NCAAB,51.0,62.0,-70.35,-7.78,1.0
Team Total,TheScore,NCAAB,6.0,1.0,37.71,67.35,1.0
Points,TheScore,NCAAB,19.0,16.0,11.01,3.93,1.0
Moneyline,TheScore,NCAAB,78.0,99.0,-50.85,-3.59,1.0
Point Spread,TheScore,NCAAB,2.0,3.0,-8.0,-20.0,1.0
Rebounds,TheScore,NCAAB,50.0,52.0,61.85,7.58,1.0
3-Pointers,Underdog,NCAAB,1.0,0.0,6.56,81.97,1.0
Assists,Underdog,NCAAB,4.0,5.0,-14.77,-20.52,1.0
Points,Underdog,NCAAB,25.0,10.0,85.94,30.69,1.0
Rebounds,Underdog,NCAAB,5.0,4.0,-3.57,-4.96,1.0
Moneyline,Bally,NCAAF,9.0,6.0,8.62,7.18,1.0
Total Receiving Yards,Bally,NCAAF,0.0,1.0,-8.0,-100.0,1.0
Total Rushing Yards,Bally,NCAAF,1.0,3.0,-17.28,-53.99,1.0
Team Total,Bally,NCAAF,5.0,1.0,29.72,61.91,1.0
Moneyline,Bet365,NCAAF,0.0,2.0,-16.0,-100.0,1.0
Point Spread,Betcris,NCAAF,2.0,0.0,14.84,92.72,1.0
Point Spread,BookMaker,NCAAF,2.0,0.0,14.84,92.72,1.0
Total,Betcris,NCAAF,1.0,1.0,0.16,1.0,1.0
Total,BookMaker,NCAAF,1.0,1.0,0.16,1.0,1.0
Moneyline,Betcris,NCAAF,31.0,15.0,64.64,17.57,1.0
Moneyline,BookMaker,NCAAF,31.0,15.0,64.64,17.57,1.0
Moneyline,BetMGM,NCAAF,3.0,7.0,-41.45,-51.81,1.0
Moneyline,Borgata,NCAAF,3.0,7.0,-41.45,-51.81,1.0
Moneyline,SportsInteraction,NCAAF,3.0,7.0,-41.45,-51.81,1.0
Total Receiving Yards,BetMGM,NCAAF,50.0,37.0,53.69,7.71,1.0
Total Receiving Yards,Borgata,NCAAF,50.0,37.0,53.69,7.71,1.0
Total Receiving Yards,SportsInteraction,NCAAF,50.0,37.0,53.69,7.71,1.0
Total Rushing Yards,BetMGM,NCAAF,42.0,46.0,-71.28,-10.12,1.0
Total Rushing Yards,Borgata,NCAAF,42.0,46.0,-71.28,-10.12,1.0
Total Rushing Yards,SportsInteraction,NCAAF,42.0,46.0,-71.28,-10.12,1.0
Total Receiving Yards,BetOnline,NCAAF,25.0,20.0,19.43,5.4,1.0
Total Rushing Yards,BetOnline,NCAAF,37.0,37.0,-42.71,-7.22,1.0
Moneyline,Unibet,NCAAF,9.0,5.0,20.76,18.54,1.0
Moneyline,BetParx,NCAAF,9.0,5.0,20.76,18.54,1.0
Moneyline,NorthStarBetsON,NCAAF,9.0,5.0,20.76,18.54,1.0
Total Receiving Yards,Unibet,NCAAF,21.0,6.0,88.11,40.79,1.0
Total Receiving Yards,BetParx,NCAAF,21.0,6.0,88.11,40.79,1.0
Total Receiving Yards,NorthStarBetsON,NCAAF,21.0,6.0,88.11,40.79,1.0
Total Rushing Yards,Unibet,NCAAF,4.0,11.0,-60.93,-50.77,1.0
Total Rushing Yards,BetParx,NCAAF,4.0,11.0,-60.93,-50.77,1.0
Total Rushing Yards,NorthStarBetsON,NCAAF,4.0,11.0,-60.93,-50.77,1.0
Team Total,Unibet,NCAAF,6.0,1.0,37.44,66.85,1.0
Team Total,BetParx,NCAAF,6.0,1.0,37.44,66.85,1.0
Team Total,NorthStarBetsON,NCAAF,6.0,1.0,37.44,66.85,1.0
Total Receiving Yards,Betr,NCAAF,0.0,1.0,-8.0,-100.0,1.0
Total Rushing Yards,Betr,NCAAF,1.0,0.0,6.56,81.97,1.0
Moneyline,BetRivers,NCAAF,9.0,2.0,43.26,49.15,1.0
Moneyline,SugarHouse,NCAAF,9.0,2.0,43.26,49.15,1.0
Total Receiving Yards,BetRivers,NCAAF,15.0,3.0,72.33,50.23,1.0
Total Receiving Yards,SugarHouse,NCAAF,15.0,3.0,72.33,50.23,1.0
Total Rushing Yards,BetRivers,NCAAF,3.0,8.0,-43.82,-49.8,1.0
Total Rushing Yards,SugarHouse,NCAAF,3.0,8.0,-43.82,-49.8,1.0
Team Total,BetRivers,NCAAF,6.0,1.0,37.44,66.85,1.0
Team Total,SugarHouse,NCAAF,6.0,1.0,37.44,66.85,1.0
Point Spread,Bovada,NCAAF,1.0,2.0,-8.0,-33.33,1.0
Moneyline,Bovada,NCAAF,14.0,14.0,5.58,2.49,1.0
Total Receiving Yards,Bovada,NCAAF,29.0,16.0,76.77,21.33,1.0
Total Rushing Yards,Bovada,NCAAF,26.0,19.0,33.38,9.27,1.0
Moneyline,Caesars,NCAAF,1.0,0.0,8.0,100.0,1.0
Total Receiving Yards,Caesars,NCAAF,13.0,4.0,59.91,44.05,1.0
Total Rushing Yards,Caesars,NCAAF,8.0,8.0,-7.55,-5.9,1.0
Moneyline,Circa,NCAAF,4.0,4.0,12.49,19.52,1.0
Total Receiving Yards,Circa,NCAAF,2.0,1.0,5.91,24.64,1.0
Moneyline,CoolBet,NCAAF,1.0,3.0,-20.4,-63.74,1.0
Total Receiving Yards,CoolBet,NCAAF,66.0,30.0,224.44,29.22,1.0
Total Rushing Yards,CoolBet,NCAAF,49.0,30.0,117.99,18.67,1.0
Team Total,CoolBet,NCAAF,7.0,4.0,17.43,19.81,1.0
Total Receiving Yards,Dabble,NCAAF,2.0,2.0,-2.89,-9.02,1.0
Total Rushing Yards,Dabble,NCAAF,12.0,13.0,-25.31,-12.66,1.0
Moneyline,DraftKings,NCAAF,4.0,1.0,7.32,18.3,1.0
Total Receiving Yards,DraftKings,NCAAF,2.0,11.0,-58.43,-56.19,1.0
Total Rushing Yards,DraftKings,NCAAF,2.0,3.0,3.12,7.8,1.0
Team Total,DraftKings,NCAAF,3.0,2.0,5.07,12.67,1.0
Moneyline,Fanatics,NCAAF,2.0,1.0,5.77,24.05,1.0
Total Receiving Yards,Fanatics,NCAAF,8.0,12.0,-39.07,-24.42,1.0
Total Rushing Yards,Fanatics,NCAAF,17.0,18.0,-19.69,-7.03,1.0
Total,FanDuel,NCAAF,0.0,2.0,-16.0,-100.0,1.0
Moneyline,FanDuel,NCAAF,6.0,6.0,-19.16,-19.96,1.0
Total Receiving Yards,FanDuel,NCAAF,34.0,16.0,111.05,27.76,1.0
Total Rushing Yards,FanDuel,NCAAF,8.0,10.0,-23.8,-16.53,1.0
Team Total,FanDuel,NCAAF,1.0,2.0,-8.73,-36.36,1.0
Point Spread,Fliff,NCAAF,0.0,2.0,-16.0,-100.0,1.0
Moneyline,Fliff,NCAAF,10.0,42.0,-120.79,-29.04,1.0
Total Receiving Yards,Fliff,NCAAF,44.0,28.0,61.95,10.75,1.0
Total Rushing Yards,Fliff,NCAAF,20.0,16.0,11.74,4.07,1.0
Total Rushing Yards,HardRockNJ,NCAAF,98.0,76.0,75.46,5.42,1.0
Team Total,HardRockNJ,NCAAF,7.0,8.0,-7.54,-6.28,1.0
Team Total,HardRock,NCAAF,7.0,8.0,-7.54,-6.28,1.0
Moneyline,Kalshi,NCAAF,1.0,2.0,-12.89,-53.7,1.0
Point Spread,NoVig,NCAAF,28.0,20.0,79.78,20.78,1.0
Total,NoVig,NCAAF,28.0,31.0,-7.88,-1.67,1.0
Moneyline,NoVig,NCAAF,36.0,44.0,-151.5,-23.67,1.0
Moneyline,OnyxOdds,NCAAF,4.0,3.0,-15.1,-26.96,1.0
Total Receiving Yards,OnyxOdds,NCAAF,1.0,3.0,-16.59,-51.85,1.0
Total Rushing Yards,OnyxOdds,NCAAF,2.0,2.0,-1.11,-3.46,1.0
Total Rushing Yards,Pick6,NCAAF,0.0,6.0,-48.0,-100.0,1.0
Point Spread,Pinnacle,NCAAF,0.0,1.0,-8.0,-100.0,1.0
Moneyline,Pinnacle,NCAAF,6.0,5.0,5.07,5.76,1.0
Total Receiving Yards,Pinnacle,NCAAF,23.0,19.0,6.59,1.96,1.0
Total Rushing Yards,Pinnacle,NCAAF,31.0,21.0,51.81,12.45,1.0
Team Total,Pinnacle,NCAAF,12.0,7.0,45.9,30.2,1.0
Moneyline,PointsBet,NCAAF,0.0,2.0,-16.0,-100.0,1.0
Total Receiving Yards,PointsBet,NCAAF,9.0,4.0,32.68,31.42,1.0
Total Rushing Yards,PointsBet,NCAAF,6.0,4.0,8.5,10.62,1.0
Point Spread,Polymarket,NCAAF,9.0,5.0,36.12,32.25,1.0
Total,Polymarket,NCAAF,4.0,1.0,26.78,66.95,1.0
Moneyline,Polymarket,NCAAF,45.0,50.0,-125.1,-16.46,1.0
Total Receiving Yards,PrizePicks,NCAAF,5.0,5.0,-7.21,-9.02,1.0
Total Rushing Yards,PrizePicks,NCAAF,6.0,6.0,-8.66,-9.02,1.0
Point Spread,ProphetX,NCAAF,30.0,33.0,-10.57,-2.1,1.0
Total,ProphetX,NCAAF,16.0,22.0,-39.51,-13.0,1.0
Total Receiving Yards,ProphetX,NCAAF,60.0,63.0,17.66,1.79,1.0
Moneyline,Rebet,NCAAF,11.0,17.0,21.44,9.57,1.0
Total Receiving Yards,Rebet,NCAAF,30.0,17.0,62.7,16.68,1.0
Total Rushing Yards,Rebet,NCAAF,19.0,10.0,50.48,21.76,1.0
Team Total,Rebet,NCAAF,1.0,2.0,-8.0,-33.33,1.0
Total Receiving Yards,Sleeper,NCAAF,4.0,1.0,19.68,49.2,1.0
Total Rushing Yards,Sleeper,NCAAF,5.0,5.0,5.08,6.35,1.0
Moneyline,STNSports,NCAAF,16.0,17.0,-13.29,-5.04,1.0
Total Receiving Yards,STNSports,NCAAF,68.0,27.0,265.6,34.95,1.0
Total Rushing Yards,STNSports,NCAAF,45.0,31.0,75.84,12.47,1.0
Team Total,STNSports,NCAAF,4.0,1.0,20.65,51.61,1.0
Point Spread,TheScore,NCAAF,5.0,1.0,33.6,70.0,1.0
Total,TheScore,NCAAF,1.0,2.0,-8.0,-33.33,1.0
Moneyline,TheScore,NCAAF,18.0,23.0,-59.02,-17.99,1.0
Total Receiving Yards,TheScore,NCAAF,37.0,26.0,56.35,11.18,1.0
Total Rushing Yards,TheScore,NCAAF,26.0,13.0,83.33,26.71,1.0
Team Total,TheScore,NCAAF,6.0,4.0,15.03,18.79,1.0
Total Receiving Yards,Underdog,NCAAF,8.0,7.0,-3.54,-2.95,1.0
Total Rushing Yards,Underdog,NCAAF,6.0,6.0,-8.66,-9.02,1.0
Total Receptions,Bally,NFL,161.0,152.0,-119.66,-4.78,1.0
Point Spread,Bally,NFL,1.0,0.0,8.0,100.0,1.0
Team Total,Bally,NFL,16.0,11.0,37.47,17.35,1.0
Total Receiving Yards,Bally,NFL,92.0,95.0,-111.82,-7.47,1.0
Moneyline,Bally,NFL,5.0,2.0,1.44,2.58,1.0
Total Rushing Yards,Bally,NFL,20.0,25.0,-54.21,-15.06,1.0
Moneyline,Bet365,NFL,4.0,0.0,15.49,48.41,1.0
Point Spread,Betcris,NFL,0.0,1.0,-8.0,-100.0,1.0
Point Spread,BookMaker,NFL,0.0,1.0,-8.0,-100.0,1.0
Team Total,Betcris,NFL,13.0,14.0,-4.75,-2.2,1.0
Team Total,BookMaker,NFL,13.0,14.0,-4.75,-2.2,1.0
Moneyline,Betcris,NFL,19.0,25.0,-46.42,-13.19,1.0
Moneyline,BookMaker,NFL,19.0,25.0,-46.42,-13.19,1.0
Point Spread,BetMGM,NFL,1.0,2.0,-8.0,-33.33,1.0
Point Spread,Borgata,NFL,1.0,2.0,-8.0,-33.33,1.0
Point Spread,SportsInteraction,NFL,1.0,2.0,-8.0,-33.33,1.0
Total,BetMGM,NFL,0.0,1.0,-8.0,-100.0,1.0
Total,Borgata,NFL,0.0,1.0,-8.0,-100.0,1.0
Total,SportsInteraction,NFL,0.0,1.0,-8.0,-100.0,1.0
Moneyline,BetMGM,NFL,3.0,3.0,-11.5,-23.96,1.0
Moneyline,Borgata,NFL,3.0,3.0,-11.5,-23.96,1.0
Moneyline,SportsInteraction,NFL,3.0,3.0,-11.5,-23.96,1.0
Total Rushing Yards,BetMGM,NFL,180.0,137.0,191.3,7.54,1.0
Total Rushing Yards,Borgata,NFL,180.0,137.0,191.3,7.54,1.0
Total Rushing Yards,SportsInteraction,NFL,180.0,137.0,191.3,7.54,1.0
Total Receptions,BetOnline,NFL,177.0,130.0,25.26,1.03,1.0
Total Rushing Yards,BetOnline,NFL,115.0,114.0,-64.81,-3.54,1.0
Point Spread,Unibet,NFL,1.0,0.0,8.0,100.0,1.0
Point Spread,BetParx,NFL,1.0,0.0,8.0,100.0,1.0
Point Spread,NorthStarBetsON,NFL,1.0,0.0,8.0,100.0,1.0
Team Total,Unibet,NFL,16.0,11.0,37.59,17.4,1.0
Team Total,BetParx,NFL,16.0,11.0,37.59,17.4,1.0
Team Total,NorthStarBetsON,NFL,16.0,11.0,37.59,17.4,1.0
Total Receiving Yards,Unibet,NFL,145.0,125.0,26.87,1.24,1.0
Total Receiving Yards,BetParx,NFL,145.0,125.0,26.87,1.24,1.0
Total Receiving Yards,NorthStarBetsON,NFL,145.0,125.0,26.87,1.24,1.0
Moneyline,Unibet,NFL,5.0,2.0,4.72,8.44,1.0
Moneyline,BetParx,NFL,5.0,2.0,4.72,8.44,1.0
Moneyline,NorthStarBetsON,NFL,5.0,2.0,4.72,8.44,1.0
Total Rushing Yards,Unibet,NFL,29.0,26.0,15.08,3.43,1.0
Total Rushing Yards,BetParx,NFL,29.0,26.0,15.08,3.43,1.0
Total Rushing Yards,NorthStarBetsON,NFL,29.0,26.0,15.08,3.43,1.0
Total Receptions,Betr,NFL,16.0,20.0,-55.08,-19.13,1.0
Total Receiving Yards,Betr,NFL,15.0,16.0,-29.64,-11.95,1.0
Total Rushing Yards,Betr,NFL,14.0,7.0,35.8,21.31,1.0
Point Spread,BetRivers,NFL,1.0,0.0,8.0,100.0,1.0
Point Spread,SugarHouse,NFL,1.0,0.0,8.0,100.0,1.0
Team Total,BetRivers,NFL,16.0,11.0,37.59,17.4,1.0
Team Total,SugarHouse,NFL,16.0,11.0,37.59,17.4,1.0
Total Receiving Yards,BetRivers,NFL,136.0,115.0,42.31,2.11,1.0
Total Receiving Yards,SugarHouse,NFL,136.0,115.0,42.31,2.11,1.0
Moneyline,BetRivers,NFL,5.0,2.0,4.72,8.44,1.0
Moneyline,SugarHouse,NFL,5.0,2.0,4.72,8.44,1.0
Total Rushing Yards,BetRivers,NFL,28.0,26.0,7.76,1.8,1.0
Total Rushing Yards,SugarHouse,NFL,28.0,26.0,7.76,1.8,1.0
Total Receptions,Bovada,NFL,144.0,140.0,-13.54,-0.6,1.0
Point Spread,Bovada,NFL,3.0,2.0,8.42,21.05,1.0
Total Receiving Yards,Bovada,NFL,94.0,98.0,-81.87,-5.33,1.0
Moneyline,Bovada,NFL,9.0,4.0,23.28,22.39,1.0
Total Rushing Yards,Bovada,NFL,68.0,89.0,-175.47,-13.97,1.0
Total Receptions,Caesars,NFL,147.0,117.0,24.53,1.16,1.0
Point Spread,Caesars,NFL,0.0,1.0,-8.0,-100.0,1.0
Total Receiving Yards,Caesars,NFL,34.0,39.0,-62.82,-10.76,1.0
Moneyline,Caesars,NFL,2.0,1.0,3.31,13.79,1.0
Total Rushing Yards,Caesars,NFL,36.0,46.0,-91.01,-13.87,1.0
Total Receptions,Circa,NFL,29.0,19.0,100.51,26.17,1.0
Total Receiving Yards,Circa,NFL,32.0,27.0,16.73,3.54,1.0
Moneyline,Circa,NFL,1.0,1.0,-3.9,-24.36,1.0
Total Rushing Yards,Circa,NFL,38.0,36.0,-11.64,-1.97,1.0
Total Receptions,CoolBet,NFL,123.0,114.0,-126.63,-6.68,1.0
Point Spread,CoolBet,NFL,4.0,2.0,13.93,29.03,1.0
Team Total,CoolBet,NFL,1.0,1.0,-0.24,-1.51,1.0
Total Receiving Yards,CoolBet,NFL,79.0,72.0,-51.41,-4.26,1.0
Moneyline,CoolBet,NFL,18.0,26.0,6.81,1.94,1.0
Total Rushing Yards,CoolBet,NFL,45.0,49.0,-63.58,-8.46,1.0
Total Receptions,Dabble,NFL,35.0,22.0,56.56,12.4,1.0
Total Receiving Yards,Dabble,NFL,37.0,29.0,3.11,0.59,1.0
Total Rushing Yards,Dabble,NFL,15.0,10.0,18.36,9.18,1.0
Point Spread,DraftKings,NFL,5.0,0.0,37.91,94.78,1.0
Team Total,DraftKings,NFL,8.0,4.0,28.92,30.12,1.0
Moneyline,DraftKings,NFL,8.0,9.0,-14.79,-10.88,1.0
Total Rushing Yards,DraftKings,NFL,113.0,101.0,-18.47,-1.08,1.0
Total Receptions,ESPNBet,NFL,2.0,0.0,16.8,105.0,1.0
Total Receiving Yards,ESPNBet,NFL,1.0,0.0,6.96,86.96,1.0
Total Rushing Yards,ESPNBet,NFL,1.0,0.0,7.27,90.91,1.0
Total,Fanatics,NFL,1.0,0.0,7.27,90.91,1.0
Moneyline,Fanatics,NFL,15.0,7.0,22.53,12.8,1.0
Total Rushing Yards,Fanatics,NFL,114.0,135.0,-246.96,-12.4,1.0
Team Total,FanDuel,NFL,1.0,0.0,8.0,100.0,1.0
Total,FanDuel,NFL,1.0,0.0,7.62,95.24,1.0
Total Receiving Yards,FanDuel,NFL,51.0,60.0,-114.45,-12.89,1.0
Moneyline,FanDuel,NFL,4.0,9.0,-51.29,-49.31,1.0
Total Rushing Yards,FanDuel,NFL,50.0,45.0,-2.47,-0.33,1.0
Total Receptions,Fliff,NFL,74.0,53.0,-16.15,-1.59,1.0
Point Spread,Fliff,NFL,2.0,2.0,-0.38,-1.2,1.0
Total Receiving Yards,Fliff,NFL,17.0,15.0,-8.55,-3.34,1.0
Moneyline,Fliff,NFL,10.0,14.0,42.69,22.24,1.0
Total Rushing Yards,Fliff,NFL,6.0,14.0,-70.02,-43.76,1.0
Point Spread,HardRockNJ,NFL,4.0,0.0,30.59,95.58,1.0
Team Total,HardRockNJ,NFL,20.0,14.0,47.39,17.42,1.0
Moneyline,HardRockNJ,NFL,2.0,4.0,-12.87,-26.82,1.0
Total Rushing Yards,HardRockNJ,NFL,187.0,174.0,-7.96,-0.28,1.0
Point Spread,HardRock,NFL,4.0,0.0,30.59,95.58,1.0
Team Total,HardRock,NFL,20.0,14.0,47.39,17.42,1.0
Moneyline,HardRock,NFL,4.0,4.0,2.94,4.59,1.0
Point Spread,Kalshi,NFL,1.0,0.0,8.32,104.0,1.0
Total Receiving Yards,Kalshi,NFL,51.0,53.0,72.22,8.68,1.0
Moneyline,Kalshi,NFL,6.0,0.0,11.79,24.56,1.0
Total Rushing Yards,Kalshi,NFL,35.0,57.0,-37.98,-5.16,1.0
Point Spread,NoVig,NFL,25.0,33.0,-54.55,-11.76,1.0
Team Total,NoVig,NFL,14.0,15.0,-4.14,-1.78,1.0
Total,NoVig,NFL,19.0,28.0,-62.58,-16.64,1.0
Moneyline,NoVig,NFL,57.0,41.0,27.46,3.5,1.0
Point Spread,OnyxOdds,NFL,4.0,0.0,31.14,97.3,1.0
Team Total,OnyxOdds,NFL,5.0,3.0,14.29,22.34,1.0
Total,OnyxOdds,NFL,0.0,1.0,-8.0,-100.0,1.0
Moneyline,OnyxOdds,NFL,5.0,3.0,14.83,23.18,1.0
Total Rushing Yards,OnyxOdds,NFL,96.0,88.0,-12.86,-0.87,1.0
Total Receptions,Pick6,NFL,2.0,4.0,-4.32,-9.01,1.0
Total Receiving Yards,Pick6,NFL,6.0,11.0,-49.29,-36.24,1.0
Total Rushing Yards,Pick6,NFL,6.0,2.0,22.08,34.5,1.0
Total Receptions,Pinnacle,NFL,65.0,59.0,-42.41,-4.28,1.0
Point Spread,Pinnacle,NFL,2.0,4.0,-14.48,-30.17,1.0
Team Total,Pinnacle,NFL,14.0,13.0,14.08,6.52,1.0
Total,Pinnacle,NFL,1.0,2.0,-7.84,-32.67,1.0
Total Receiving Yards,Pinnacle,NFL,137.0,162.0,-208.18,-8.7,1.0
Moneyline,Pinnacle,NFL,14.0,2.0,71.84,56.13,1.0
Total Rushing Yards,Pinnacle,NFL,135.0,133.0,93.22,4.35,1.0
Point Spread,PointsBet,NFL,1.0,0.0,8.4,105.0,1.0
Team Total,PointsBet,NFL,2.0,3.0,-10.23,-25.57,1.0
Moneyline,PointsBet,NFL,10.0,3.0,6.58,6.32,1.0
Total Rushing Yards,PointsBet,NFL,131.0,96.0,117.16,6.45,1.0
Point Spread,Polymarket,NFL,10.0,15.0,-37.43,-18.72,1.0
Total,Polymarket,NFL,8.0,7.0,11.72,9.77,1.0
Moneyline,Polymarket,NFL,48.0,30.0,41.35,6.63,1.0
Total Receptions,PrizePicks,NFL,71.0,52.0,49.57,5.04,1.0
Total Receiving Yards,PrizePicks,NFL,52.0,39.0,14.47,1.99,1.0
Total Rushing Yards,PrizePicks,NFL,19.0,16.0,-3.41,-1.22,1.0
Point Spread,ProphetX,NFL,27.0,35.0,-54.58,-11.0,1.0
Total,ProphetX,NFL,20.0,27.0,-44.21,-11.76,1.0
Moneyline,ProphetX,NFL,70.0,55.0,-17.9,-1.79,1.0
Total Rushing Yards,ProphetX,NFL,151.0,159.0,-15.5,-0.62,1.0
Total Receptions,Rebet,NFL,114.0,78.0,-47.59,-3.1,1.0
Point Spread,Rebet,NFL,1.0,1.0,-0.73,-4.55,1.0
Team Total,Rebet,NFL,2.0,0.0,14.33,89.57,1.0
Total,Rebet,NFL,1.0,0.0,7.27,90.91,1.0
Total Receiving Yards,Rebet,NFL,80.0,76.0,-44.6,-3.57,1.0
Moneyline,Rebet,NFL,14.0,10.0,-13.95,-7.27,1.0
Total Rushing Yards,Rebet,NFL,45.0,42.0,-17.79,-2.56,1.0
Total Receptions,Sleeper,NFL,24.0,13.0,12.78,4.32,1.0
Total Receiving Yards,Sleeper,NFL,4.0,7.0,-31.8,-36.14,1.0
Total Rushing Yards,Sleeper,NFL,1.0,2.0,-8.66,-36.09,1.0
Point Spread,STNSports,NFL,4.0,1.0,22.39,55.97,1.0
Team Total,STNSports,NFL,3.0,1.0,15.22,47.55,1.0
Total Receiving Yards,STNSports,NFL,107.0,98.0,-70.01,-4.27,1.0
Moneyline,STNSports,NFL,9.0,12.0,19.89,11.84,1.0
Total Rushing Yards,STNSports,NFL,58.0,65.0,-83.2,-8.45,1.0
Point Spread,TheScore,NFL,3.0,5.0,-16.19,-25.29,1.0
Team Total,TheScore,NFL,3.0,0.0,23.27,96.97,1.0
Total,TheScore,NFL,1.0,1.0,-0.73,-4.55,1.0
Total Receiving Yards,TheScore,NFL,99.0,104.0,-146.73,-9.03,1.0
Moneyline,TheScore,NFL,8.0,12.0,-50.97,-31.85,1.0
Total Rushing Yards,TheScore,NFL,72.0,92.0,-172.75,-13.17,1.0
Total Receptions,Underdog,NFL,44.0,32.0,-19.54,-3.21,1.0
Total Receiving Yards,Underdog,NFL,42.0,27.0,59.41,10.76,1.0
Total Rushing Yards,Underdog,NFL,10.0,13.0,-38.43,-20.88,1.0
Total,Bally,NHL,5.0,5.0,-0.3,-0.37,1.0
Puck Line,Bally,NHL,2.0,1.0,5.45,22.72,1.0
Moneyline,Bally,NHL,24.0,21.0,28.06,7.8,1.0
