league_norm,market_norm,sportsbook,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv
NCAAFB,Total Receiving Yards,theScore Bet,5.0,36.66,-5.7,-0.15548281505728317,-0.005319148936170137,-0.005319148936170137,-0.005319148936170137
NCAAFB,Total Rushing Yards,Hard Rock Sportsbook,2.0,10.44,-5.88,-0.5632183908045977,,,
NCAAFB,Total Rushing Yards,ProphetX,24.0,181.2,-31.049999999999997,-0.17135761589403972,0.12851291386960972,0.13297872340425543,0.10638297872340426
NCAAM,Moneyline,Draftkings Sportsbook,3.0,25.0,-16.759999999999998,-0.6703999999999999,0.10593965312425757,0.10593965312425757,0.06315514373960562
NCAAM,Moneyline,Onyx,1.0,5.0,0.0,0.0,0.0,0.0,0.0
NCAAM,Point Spread,BetRivers - Indiana,1.0,25.0,-1.25,-0.05,-0.02051282051282055,-0.02051282051282055,-0.02051282051282055
NCAAM,Point Spread,Caesars Sportsbook,1.0,3.0,-3.0,-1.0,-0.010362694300518172,-0.010362694300518172,-0.010362694300518172
NCAAM,Point Spread,Draftkings Sportsbook,1.0,25.0,-25.0,-1.0,0.01538461538461533,0.01538461538461533,0.01538461538461533
NCAAM,Point Spread,Fanatics,1.0,10.0,9.17,0.917,0.07303370786516838,0.07303370786516838,0.07303370786516838
NCAAM,Point Spread,Novig,14.0,105.43110000000001,-23.57999999999999,-0.2236531725458616,0.06424605662053255,0.048141025641025625,-0.0039024390243901468
NCAAM,Point Spread,ProphetX,3.0,20.0,-3.5299999999999994,-0.17649999999999996,-0.03955206515415932,0.0785340314136127,-0.22162652705061087
NCAAM,Points,BetMGM,53.0,517.6700000000001,72.36,0.13978016883342667,0.06439382233084506,0.05630513751946031,0.0
NCAAM,Points,Fanatics,6.0,36.16,-7.71,-0.21321902654867259,0.05824287437313521,0.07303370786516838,0.014606741573033677
NCAAM,Rebounds,BetMGM,1.0,8.0,-8.0,-1.0,,,
NCAAM,Rebounds,theScore Bet,2.0,36.0,18.6,0.5166666666666667,0.07979463974939094,0.07979463974939094,0.03948833971458417
NCAAM,Total,Novig,10.0,75.32039,-27.16,-0.36059292842217094,0.029562508987903514,0.025576923076923053,-0.07612121212121216
NCAAM,Total Points,Caesars Sportsbook,3.0,24.0,-8.98,-0.3741666666666667,0.02080405932864937,0.02080405932864937,0.015589383294301262
NFL,Moneyline,Draftkings Sportsbook,1.0,25.0,45.0,1.8,0.018181818181818077,0.018181818181818077,0.018181818181818077
NFL,Moneyline,Novig,2.0,15.99078,-5.26,-0.3289395514165037,-0.0034754276405103424,-0.0034754276405103424,-0.05035025794189509
NFL,Other,Bet365,1.0,5.0,1.86,0.372,-0.09271523178807939,-0.09271523178807939,-0.09271523178807939
NFL,Other,Caesars Sportsbook,2.0,12.0,-12.0,-1.0,0.23242718446601945,0.23242718446601945,0.014485436893203953
NFL,Other,Draftkings Sportsbook,1.0,5.0,1.07,0.21400000000000002,-0.024193548387096753,-0.024193548387096753,-0.024193548387096753
NFL,Other,Fanatics,1.0,10.0,8.7,0.8699999999999999,-0.036082474226803996,-0.036082474226803996,-0.036082474226803996
NFL,Other,Fanduel Sportsbook,1.0,5.0,-5.0,-1.0,0.0,0.0,0.0
NFL,Other,Kalshi,2.0,27.19,-1.1900000000000013,-0.043766090474439176,,,
NFL,Point Spread,Caesars Sportsbook,8.0,71.0,2.9099999999999984,0.04098591549295772,0.2566000221644195,0.3795950155763239,-0.06181937172774862
NFL,Point Spread,Draftkings Sportsbook,2.0,3.8,-3.8,-1.0,0.06134969325153383,0.06134969325153383,0.012269938650306768
NFL,Team Total,Draftkings Sportsbook,3.0,60.0,11.73,0.1955,0.0053425207385603786,0.021621621621621623,-0.04767567567567563
NFL,Total,BetMGM,2.0,6.0,5.6,0.9333333333333332,0.07754010695187152,0.07754010695187152,0.019786096256684305
NFL,Total,BetRivers - Indiana,1.0,1.0,-1.0,-1.0,0.07471264367816088,0.07471264367816088,0.07471264367816088
NFL,Total,Caesars Sportsbook,2.0,20.0,5.380000000000001,0.269,0.13398907103825142,0.13398907103825142,-0.06920218579234963
NFL,Total,Draftkings Sportsbook,3.0,40.0,25.94,0.6485000000000001,0.041527104809599646,0.041527104809599646,0.025059347663490626
NFL,Total,Fanatics,1.0,20.0,17.39,0.8695,0.0,0.0,0.0
NFL,Total,theScore Bet,2.0,25.0,17.39,0.6956,-0.09084437898870884,-0.09084437898870884,-0.10578792341678935
NFL,Total Points,Caesars Sportsbook,5.0,50.0,-5.82,-0.1164,0.30894046142185305,0.38992146596858646,0.07365167476187487
NFL,Total Points,Fanatics,2.0,40.08,36.510000000000005,0.910928143712575,-0.02704981837052406,-0.02704981837052406,-0.044434353918007194
NFL,Total Points,theScore Bet,7.0,106.0,44.339999999999996,0.4183018867924528,-0.01574294135574997,0.0,-0.07980280228334188
NFL,Total Receiving Yards,BetMGM,1.0,10.0,-10.0,-1.0,,,
NFL,Total Receiving Yards,BetRivers - Indiana,1.0,4.98,-4.98,-1.0,,,
NFL,Total Receiving Yards,Caesars Sportsbook,5.0,50.0,3.3599999999999994,0.06719999999999998,0.0869646884094768,-0.005291005291005346,-0.06000556947925371
NFL,Total Receiving Yards,Draftkings Sportsbook,2.0,50.0,45.45,0.909,-0.027590673575129565,-0.027590673575129565,-0.04551813471502595
NFL,Total Receiving Yards,Fanatics,2.0,30.0,20.74,0.6913333333333332,-0.05861581920903958,-0.05861581920903958,-0.07838983050847462
NFL,Total Receiving Yards,Kalshi,2.0,9.690000000000001,15.309999999999999,1.5799793601651184,-0.009021638738619886,-0.009021638738619886,-0.05774838369177989
NFL,Total Receiving Yards,Novig,3.0,45.99008,34.75,0.7555977289015371,0.1066206102475532,0.1066206102475532,0.09243523316062167
NFL,Total Receiving Yards,theScore Bet,3.0,45.0,13.79,0.3064444444444444,-0.05139069969578447,-0.04519774011299438,-0.08288570186875273
NFL,Total Receptions,BetMGM,1.0,8.0,8.0,1.0,0.09289617486338786,0.09289617486338786,0.09289617486338786
NFL,Total Receptions,BetRivers - Indiana,2.0,16.0,14.719999999999999,0.9199999999999999,0.0022677595628415315,0.0022677595628415315,-0.003918032786885251
NFL,Total Receptions,Caesars Sportsbook,4.0,40.0,-40.0,-1.0,0.31725768321513,0.42600472813238766,0.07602836879432628
NFL,Total Receptions,Draftkings Sportsbook,1.0,15.0,-15.0,-1.0,0.19774011299435035,0.19774011299435035,0.19774011299435035
NFL,Total Receptions,Novig,5.0,57.88808,-1.5599999999999987,-0.026948553139091825,0.04375588199411566,0.05641025641025643,0.00039507772020728246
NFL,Total Rushing Yards,BetMGM,4.0,29.0,19.85,0.6844827586206897,0.06818181818181812,0.06818181818181812,0.06818181818181812
NFL,Total Rushing Yards,Caesars Sportsbook,2.0,20.0,7.239999999999998,0.36199999999999993,,,
NFL,Total Rushing Yards,Draftkings Sportsbook,2.0,30.0,23.71,0.7903333333333333,0.0,0.0,0.0
NFL,Total Rushing Yards,Kalshi,5.0,24.97,-24.97,-1.0,-0.03619682107077071,-0.009803921568627527,-0.0982873149259705
NFL,Total Rushing Yards,Novig,6.0,72.00102999999999,29.78,0.41360519425902664,0.0702640503398847,0.07145646231940661,0.05052866163179419
NFL,Total Rushing Yards,theScore Bet,3.0,55.0,21.74,0.3952727272727272,-0.01058201058201047,-0.01058201058201047,-0.01058201058201047
NHL,Assists,BetMGM,10.0,73.77,19.67,0.26663955537481365,8.539655744563835e-05,0.0,-0.008469498910675366
NHL,Assists,Draftkings Sportsbook,1.0,8.0,-8.0,-1.0,0.011235955056179803,0.011235955056179803,0.011235955056179803
NHL,Assists,Hard Rock Sportsbook,2.0,16.0,-16.0,-1.0,-0.0267417767417768,-0.0267417767417768,-0.03332038332038336
NHL,Assists,Novig,3.0,23.98827,1.0,0.04168704120805711,0.06595355207448524,0.08695652173913038,0.03287517531556796
NHL,Assists,Onyx,6.0,42.66,-11.43,-0.2679324894514768,0.017582658569500698,0.0,-0.030416666666666647
NHL,Moneyline,theScore Bet,1.0,10.0,-10.0,-1.0,-0.021276595744680993,-0.021276595744680993,-0.021276595744680993
NHL,Other,Caesars Sportsbook,1.0,10.0,11.8,1.1800000000000002,-0.05217391304347807,-0.05217391304347807,-0.05217391304347807
NHL,Other,Fanatics,1.0,5.0,-5.0,-1.0,0.03603603603603589,0.03603603603603589,0.03603603603603589
NHL,Points,Draftkings Sportsbook,3.0,23.0,-23.0,-1.0,0.05724637681159428,0.02499999999999991,0.022391304347826147
NHL,Points,Novig,5.0,39.98278,-24.44,-0.6112631487855522,0.05536673662558855,0.04484304932735439,0.0312299465240641
NHL,Points,Onyx,9.0,72.0,-17.98,-0.24972222222222223,-0.007729046669490776,-0.011363636363636354,-0.06020050125313281
NHL,Total,Bet365,8.0,249.0,-50.09,-0.20116465863453817,,,
NHL,Total,BetMGM,3.0,27.0,37.9,1.4037037037037037,0.044623243933588706,0.0,-0.01379310344827589
NHL,Total,Draftkings Sportsbook,1.0,30.0,10.0,0.3333333333333333,,,
NHL,Total,Fanduel Sportsbook,3.0,55.0,-8.96,-0.16290909090909092,,,
NHL,Total Points,ProphetX,3.0,33.0,-33.0,-1.0,0.25682747413338763,0.1116279069767443,0.09560802414344041
NHL,Total Saves,BetMGM,1.0,8.0,-8.0,-1.0,0.09947643979057608,0.09947643979057608,0.09947643979057608
NHL,Total Saves,Novig,12.0,194.98494000000002,23.39,0.11995798239597374,0.10463749761725136,0.0990099009900991,0.08021390374331538
NHL,Total Saves,ProphetX,10.0,82.0,39.21,0.4781707317073171,0.08306578315685738,0.08399470899470896,0.05515957446808515
NHL,Total Shots on Goal,Bally Bet,121.0,571.78,92.89999999999999,0.1624750778271363,0.031123848705319722,0.03012157503175472,0.0
NHL,Total Shots on Goal,BetRivers - Indiana,2.0,50.0,-50.0,-1.0,,,
NHL,Total Shots on Goal,Draftkings Sportsbook,12.0,198.0,-93.57,-0.47257575757575754,-0.004253592622454634,-0.002923976608187162,-0.036940966010733524
NHL,Total Shots on Goal,Fanatics,1.0,1.0,-1.0,-1.0,-0.017241379310344862,-0.017241379310344862,-0.017241379310344862
NHL,Total Shots on Goal,Fanduel Sportsbook,1.0,30.0,0.0,0.0,0.03809523809523818,0.03809523809523818,0.03809523809523818
NHL,Total Shots on Goal,Novig,40.0,383.17344,-24.230000000000004,-0.0632350718254376,0.06439363072667736,0.06825322456179028,0.016597110754414057
NHL,Total Shots on Goal,Onyx,7.0,60.0,-2.84,-0.04733333333333333,0.04269318256315302,0.0755555555555556,-0.023874827427519493
NHL,Total Shots on Goal,ProphetX,11.0,254.0,80.05000000000001,0.31515748031496066,0.07794858303475007,0.07731958762886593,0.05365853658536612
NHL,Total Shots on Goal,theScore Bet,14.0,143.0,-63.80000000000001,-0.44615384615384623,0.018498980395795634,0.008620689655172376,-0.015793754066362953
TENNIS,Point Spread,Draftkings Sportsbook,1.0,1.0,0.0,0.0,,,
UEFA Champions League,Other,BetRivers - Indiana,1.0,1.0,1.63,1.63,,,
UFC,Moneyline,theScore Bet,1.0,5.0,-5.0,-1.0,0.23873873873873852,0.23873873873873852,0.23873873873873852
other,Other,Bet365,12.0,288.45,146.18,0.5067776044375109,,,
other,Point Spread,Fanduel Sportsbook,2.0,37.5,32.68,0.8714666666666666,,,
other,Total,Bet365,31.0,888.1,0.1600000000000108,0.000180159891904077,,,
