bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues,odds_decimal,close_decimal,clv,market_norm,league_norm,edge,kelly_pct,bankroll,drawdown
3e69c969-f0c7-4d11-9c44-66c20132928e,ProphetX,straight,SETTLED_WIN,2.25,2.05,0.0963,30.0,37.42,2025-12-14 17:08:32+00:00,2025-12-14 20:10:08+00:00,2025-12-14 17:08:32+00:00,2025-12-14 20:10:08.615000+00:00,under 1.5 Stefan Noesen Total Shots on Goal Vancouver Canucks at New Jersey Devils,,Ice Hockey,NHL,2.25,2.05,0.09756097560975618,Total Shots on Goal,NHL,0.0963,0.07704,1037.42,0.0
04c37859-a0fd-4bcc-aef9-c3c5944bb399,ProphetX,straight,SETTLED_WIN,2.29,2.1,0.089,29.0,37.32,2025-12-17 02:10:33+00:00,2025-12-17 06:00:00+00:00,2025-12-17 02:10:33+00:00,2025-12-17 06:00:00+00:00,under 1.5 Joel Farabee Total Shots on Goal Calgary Flames at San Jose Sharks,,Ice Hockey,NHL,2.29,2.1,0.09047619047619038,Total Shots on Goal,NHL,0.089,0.0689922480620155,1074.74,0.0
2d21fcda-df66-49a8-a2a6-4b81b754bc0d,ProphetX,straight,SETTLED_LOSS,2.24,2.05,0.0915,29.0,-29.0,2025-12-19 01:44:30+00:00,2025-12-19 05:00:00+00:00,2025-12-19 01:44:30+00:00,2025-12-19 05:00:00+00:00,under 1.5 Mikael Backlund Total Shots on Goal Seattle Kraken at Calgary Flames,,Ice Hockey,NHL,2.24,2.05,0.0926829268292686,Total Shots on Goal,NHL,0.0915,0.07379032258064515,1045.74,0.026983270372369132
10056116-d928-4b30-a529-ae3504faf0db,ProphetX,straight,SETTLED_WIN,2.29,2.15,0.0637,30.0,38.61,2025-12-20 13:36:08+00:00,2025-12-20 20:30:00+00:00,2025-12-20 13:36:08+00:00,2025-12-20 20:30:00+00:00,under 1.5 Anthony Beauvillier Total Shots on Goal Detroit Red Wings at Washington Capitals,,Ice Hockey,NHL,2.29,2.15,0.06511627906976747,Total Shots on Goal,NHL,0.0637,0.049379844961240316,1084.35,0.0
