bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,time_placed_iso,time_settled_iso,bet_info,tags,sports,leagues,odds_decimal,close_decimal,clv,market_norm,league_norm,edge,kelly_pct,os_rating_pred,bankroll,drawdown,portfolio
13419805439,Bally Bet,straight,SETTLED_LOSS,2.45,2.25,0.0889,2.39,-2.39,2025-11-19 18:17:46+00:00,2025-11-20 05:30:00+00:00,2025-11-19 18:17:46.030000+00:00,2025-11-20 05:30:00+00:00,Jackson Blake Under 1.5 Shots on goal by the player - Inc. OT: Jackson Blake CAR Hurricanes at MIN Wild,,Ice Hockey,NHL,2.45,2.25,0.08888888888888902,Total Shots on Goal,NHL,0.0889,0.061310344827586204,10.7,997.61,0.0023899999999999863,Core
13536650189,Bally Bet,straight,SETTLED_WIN,2.5,2.3,0.087,2.34,3.51,2025-12-11 20:57:59+00:00,2025-12-12 04:00:00+00:00,2025-12-11 20:57:59.868000+00:00,2025-12-12 04:00:00+00:00,Jake Neighbours Over 1.5 Shots on goal by the player - Inc. OT: Jake Neighbours STL Blues at NSH Predators,,Ice Hockey,NHL,2.5,2.3,0.0869565217391306,Total Shots on Goal,NHL,0.087,0.057999999999999996,13.5,1001.12,0.0,Core
13419805439,Bally Bet,straight,SETTLED_LOSS,2.45,2.25,0.0889,2.39,-2.39,2025-11-19 18:17:46+00:00,2025-11-20 05:30:00+00:00,2025-11-19 18:17:46.030000+00:00,2025-11-20 05:30:00+00:00,Jackson Blake Under 1.5 Shots on goal by the player - Inc. OT: Jackson Blake CAR Hurricanes at MIN Wild,,Ice Hockey,NHL,2.45,2.25,0.08888888888888902,Total Shots on Goal,NHL,0.0889,0.061310344827586204,10.7,997.61,0.0023899999999999863,Expansion
13536650189,Bally Bet,straight,SETTLED_WIN,2.5,2.3,0.087,2.34,3.51,2025-12-11 20:57:59+00:00,2025-12-12 04:00:00+00:00,2025-12-11 20:57:59.868000+00:00,2025-12-12 04:00:00+00:00,Jake Neighbours Over 1.5 Shots on goal by the player - Inc. OT: Jake Neighbours STL Blues at NSH Predators,,Ice Hockey,NHL,2.5,2.3,0.0869565217391306,Total Shots on Goal,NHL,0.087,0.057999999999999996,13.5,1001.12,0.0,Expansion
019aeab3-0a6f-7f82-a971-585eecca5954,Novig,straight,SETTLED_LOSS,2.23,1.91,0.1666,7.99669,-8.0,2025-12-04 18:49:57+00:00,2025-12-05 00:35:00+00:00,2025-12-04 18:49:57.559000+00:00,2025-12-05 00:35:00+00:00,Under 14.5 LeBron James REBOUNDS ASSISTS Los Angeles Lakers @ Toronto Raptors,,Basketball,NBA,2.23,1.91,0.16753926701570676,Rebounds,NBA,0.1666,0.1354471544715447,13.5,992.0,0.008,Experimental
019b4d89-35d5-70c9-bd5c-dee7cf6295df,Novig,straight,SETTLED_WIN,2.3,2.05,0.1214,29.9976,38.96,2025-12-23 23:26:39+00:00,2025-12-24 00:35:00+00:00,2025-12-23 23:26:39.652000+00:00,2025-12-24 00:35:00+00:00,Under 3.5 De'Andre Hunter REBOUNDS New Orleans Pelicans @ Cleveland Cavaliers,,Basketball,NBA,2.3,2.05,0.12195121951219523,Rebounds,NBA,0.1214,0.0933846153846154,13.5,1030.96,0.0,Experimental
